# {"t_start": 1733396319.0728533, "env_id": "MACraft-2agentdcent-v0"} 
r,l,t
0.0,1000,0.032312
0.0,1000,0.063941
1.0,1000,0.09587
0.0,1000,0.127061
2.0,1000,0.158763
1.0,1000,0.190696
0.0,1000,0.221992
1.0,1000,0.253084
0.0,1000,0.283957
2.0,1000,0.315337
0.0,1000,0.346625
0.0,1000,0.378021
0.0,1000,0.409101
0.0,1000,0.440339
0.0,1000,0.471605
0.0,1000,0.502973
0.0,1000,0.534467
1.0,1000,0.565401
0.0,1000,0.596624
0.0,1000,0.627248
1.0,1000,0.658336
0.0,1000,0.689371
1.0,1000,0.72073
0.0,1000,0.752291
0.0,1000,0.783345
1.0,1000,0.81455
0.0,1000,0.84599
0.0,1000,0.877274
1.0,1000,0.908437
1.0,1000,0.93961
1.0,1000,0.970721
0.0,1000,1.001795
1.0,1000,1.033009
0.0,1000,1.063904
2.0,1000,1.094467
2.0,1000,1.12541
0.0,1000,1.155886
0.0,1000,1.186944
0.0,1000,1.218101
1.0,1000,1.248903
1.0,1000,1.279892
0.0,1000,1.310857
1.0,1000,1.34147
0.0,1000,1.372184
1.0,1000,1.403167
1.0,1000,1.434419
1.0,1000,1.465821
0.0,1000,1.496657
0.0,1000,1.527296
1.0,1000,1.558038
1.0,1000,1.589353
0.0,1000,1.620402
0.0,1000,1.651315
1.0,1000,1.682686
2.0,1000,1.713669
0.0,1000,1.745031
1.0,1000,1.776018
0.0,1000,1.806639
0.0,1000,1.837374
1.0,1000,1.868347
1.0,1000,1.899632
1.0,1000,1.930362
1.0,1000,1.961254
